YEAR,HABITAT,REGION,SITE,CONTROL,TRANSECT,AREA,n,total,Density
2019,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 5,80,36,1869.32902,23.36661274
2019,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 6,80,36,1550.106744,19.37633431
2019,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 1,80,27,1260.811381,15.76014226
2019,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 2,80,36,3309.240586,41.36550732
2019,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 3,80,36,1034.841249,12.93551562
2019,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 4,80,27,3267.818435,40.84773043
2019,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 1,80,36,18515.0546,231.4381825
2019,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 2,80,27,7800.839579,97.51049474
2019,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 3,80,27,17866.6386,223.3329825
2019,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 4,80,27,3103.34874,38.79185925
2020,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 5,80,18,163.7595315,2.046994144
2020,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 6,80,18,1891.978102,23.64972628
2020,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 1,80,36,8080.635295,101.0079412
2020,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 2,80,18,9122.450259,114.0306282
2020,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 3,80,27,783.9187506,9.798984383
2020,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 4,80,36,6898.952679,86.23690849
2020,Kelp,Narragansett Bay,Kings Beach,Control,KB 1,80,18,780.4876859,9.756096074
2020,Kelp,Narragansett Bay,Kings Beach,Control,KB 5,80,18,474.8053784,5.93506723
2020,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 2,80,36,18311.30693,228.8913366
2020,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 3,80,27,16067.58895,200.8448618
2020,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 4,80,27,6882.457014,86.03071268
2021,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 6,80,9,28.93951309,0.361743914
2021,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 1,80,18,1363.937627,17.04922034
2021,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 2,80,45,2344.017164,29.30021454
2021,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 3,80,27,1056.847647,13.21059559
2021,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 4,80,45,2982.923452,37.28654315
2021,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 5,80,27,1670.039079,20.87548848
2021,Kelp,Narragansett Bay,Kings Beach,Control,KB 1,80,27,725.1971324,9.064964155
2021,Kelp,Narragansett Bay,Kings Beach,Control,KB 5,80,27,1029.083528,12.8635441
2021,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 2,80,36,17469.59414,218.3699268
2021,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 3,80,36,3926.86541,49.08581763
2021,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 4,80,27,3368.556643,42.10695803
2022,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 5,80,18,358.7351577,4.484189472
2022,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 6,80,9,187.655731,2.345696638
2022,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 1,80,27,1026.76382,12.83454775
2022,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 2,80,27,1148.25096,14.353137
2022,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 3,80,18,710.3169252,8.878961565
2022,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 4,80,45,23342.25485,291.7781856
2022,Kelp,Narragansett Bay,Kings Beach,Control,KB 1,80,18,791.6701893,9.895877366
2022,Kelp,Narragansett Bay,Kings Beach,Control,KB 5,80,36,268.777433,3.359717912
2022,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 2,80,36,2558.207916,31.97759895
2022,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 3,80,36,6452.606192,80.65757741
2022,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 4,80,27,772.3456943,9.654321178
2023,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 5,80,27,1671.23589,20.89044862
2023,Kelp,Narragansett Bay,Fort Wetherill,Control,FW 6,80,18,287.3596721,3.591995901
2023,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 2,80,18,1294.939028,16.18673785
2023,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 3,80,18,3181.782122,39.77227652
2023,Kelp,Narragansett Bay,Fort Wetherill,Kelp,FW 4,80,18,1086.093828,13.57617285
2023,Kelp,Narragansett Bay,Kings Beach,Control,KB 1,80,36,1355.300292,16.94125366
2023,Kelp,Narragansett Bay,Kings Beach,Control,KB 5,80,27,391.2826378,4.891032973
2023,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 2,80,18,298.7920455,3.734900569
2023,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 3,80,27,3285.372994,41.06716242
2023,Kelp,Narragansett Bay,Kings Beach,Kelp,KB 4,80,18,1604.293399,20.05366749
